"idx","review_id","review_date","rating","review_text","reviewer_hash","app_version","thumbs_up","developer_reply","reply_date","아이_학습후_성장경험_부족","부모_체계적_금융학습_확인_부족","돈이_학습행동의_동기가_된_경험","돈보상의_아쉬움_또는_부작용","아이의_학습_지속_흥미_이용의욕","부모의_금전적_보상부담","참고_학습효과_긍정_언급","학습흥미_방향","P2_근거강도","대표_페인포인트","근거가_되는_리뷰_원문","분류_이유"
"1","2d984470-590f-49b6-9129-582f2a2ba0a2","2026-08-06","5","돈 쓰기 편햐집니다","eeea45abd668","","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"2","85d47183-c7e5-41c7-949f-9a9067c4ed3f","2026-08-04","3","세븐일레븐 바코드도 만들어 주세요","94341ff27c5a","26.7.5","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"3","ccc65641-6bbb-4dae-a116-b74421fab33b","2026-08-03","5","저도작년부터용돈을지패로가고다는가기로기자남지않아서엄마용돈카트만들어주은가편희점가도카트걸제하고든이가용돈저야할주있어저요모부다7월마지주은돈주이가와정펼이했요","958efd847a7a","26.7.5","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"4","f16c5bce-c270-4fe2-b676-eda545ae1b2f","2026-07-18","3","갠적으로 자꾸 투자하라고 문자쏘는거 귀찮았음...","0df45b87d3d7","26.3.3","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"5","26f6b6b6-e9c0-4423-9cce-5bfde144d30a","2026-07-16","2","퍼핀을 했는데 한문제가 쓰레기 아니면 발자국이였는데 두개다 틀렸다고 해요 고쳐주세요 (개인정보를 지켜라)","284fa5ce8c88","26.7.1","2","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"6","2a0bef95-83ae-48dc-8b0e-81c1ff50a704","2026-07-15","5","전체적으로 너무 좋습니다! 퀴즈를 풀어서 돈도 벌수 있고, 주식투자 연습/실전 기능 등 너무 좋은 앱입니다!!!!!!","fad44df7206b","","0","","","0","0","1","0","0","0","0","","","돈이_학습행동의_동기가_된_경험","전체적으로 너무 좋습니다! 퀴즈를 풀어서 돈도 벌수 있고, 주식투자 연습/실전 기능 등 너무 좋은 앱입니다!!!!!!","퀴즈·문제풀이와 금전 보상을 연결지어 긍정적으로 서술 — 보상이 학습 행동의 이유로 제시됨."
"7","9511874a-cfce-4ad4-8efa-2fe97e23b544","2026-07-12","5","제가 용돈을 막 썼는데 이 앱은 너무 좋더라고요!! 완전 강력추천합니다! 아쉬운점은 저금통을 여러개만들고싶은데 하나밖에 못만들더라고요ㅜㅜ 그부분은 참고해주셧으면 좋겟공 나머지는 퍼펙트!!♡","8631b11016f3","","2","안녕하세요, 용돈을 계획적으로 사용하는 데 도움이 되었다니 정말 기쁩니다! 앞으로도 유익한 서비스 제공을 위해 더욱 노력하겠습니다. 감사합니다^^","2025-08-19","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"8","feb80616-4b19-4121-bf83-49642a413784","2026-07-04","1","뭔 로그인을해야돼서 하려는데 이름알려주는 회원 가입칭만나오고 로그인이 안돼고 본인 아니라고 계속 인증 안하네요.엄마 열받아서지금 욕하고 난립니다. 로그인 창좀 제발 만드세요.","91f3a9dbfa43","26.5.2","1","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"9","1c000abe-2d4a-4ff8-a445-dd3c4b1ab810","2026-06-24","1","자꾸오류가 뜹니다","fe1e36dfcf66","26.5.2","0","안녕하세요, 어떤 오류가 있는지 1:1 채팅상담창에 남겨주시면 바로 안내드리겠습니다!
[퍼핀 실시간 채팅 상담 링크: firfin.channel.io]","2026-06-30","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
"10","067cf047-8354-4b4b-9657-dbb0cb0dd554","2026-06-11","5","앱 오류라고 로그인조차 안되는데..지웠다가 다시깔아도 안되네요.아이들앱도 죄다 오류~였지만 메일 한통으로 수정해주시고 연락주셔서 감사해요^^","cdb8cbf2682b","26.5.2","0","","","0","0","0","0","0","0","0","","","","","6개 항목 어디에도 해당하지 않음 (기능 요청·오류 신고·단순 만족 표현 등)."
